"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"952","Old Bexley and Sidcup",66035,46748,8879,24682,1644,1336,8528,0,2015,0.6315823144
"953","Old Bexley and Sidcup",65699,45492,8768,24625,6996,371,1532,0,2010,0.6315823144
"954","Oldham East and Saddleworth",71475,44483,17529,11527,5718,1152,8557,0,2015,0.5992043445
"955","Oldham East and Saddleworth",72557,44520,14186,11773,14083,0,1720,0,2010,0.5992043445
"956","Oldham West and Royton",71652,43137,23630,8187,1589,839,8892,0,2015,0.6130829724
"957","Oldham West and Royton",72359,42910,19503,10151,8193,0,1387,0,2010,0.6130829724
"958","Orkney and Shetland",33085,19346,2061,2032,11989,0,1222,2042,2010,0.4028130825
"959","Orkney and Shetland",34552,22728,1624,2025,9407,0,1082,8590,2015,0.4028130825
"960","Orpington",68129,49032,7645,28152,3330,1732,8173,0,2015,0.5754149843
"961","Orpington",67732,48911,4400,29200,12000,511,1360,0,2010,0.5754149843
"962","Oxford East",81903,51651,21938,9727,17357,1238,1202,0,2010,0.3231255145
"963","Oxford East",78978,50689,25356,10076,5453,5890,3451,0,2015,0.3231255145
"964","Oxford West and Abingdon",86458,56480,5999,23906,23730,1184,1518,0,2010,0.3818095305
"965","Oxford West and Abingdon",76174,57247,7274,26153,16571,2497,3963,0,2015,0.3818095305
"966","Paisley and Renfrewshire North",66206,50462,16525,6183,1055,703,0,25601,2015,0.3609494834
"967","Paisley and Renfrewshire North",63704,43707,23613,6381,4597,0,0,8333,2010,0.3609494834
"968","Paisley and Renfrewshire South",61197,39998,23842,3979,3812,0,0,7228,2010,0.3418975385
"969","Paisley and Renfrewshire South",61281,46226,17864,3526,1010,0,0,23548,2015,0.3418975385
"970","Pendle",64573,44448,15525,20978,1487,1043,5415,0,2015,0.631542958
"971","Pendle",66422,45045,13927,17512,9095,0,1476,0,2010,0.631542958
"972","Penistone and Stocksbridge",70817,46854,19691,12968,2957,0,10738,0,2015,0.6134816363
"973","Penistone and Stocksbridge",68480,46516,17565,14516,9800,0,1936,0,2010,0.6134816363
"974","Penrith and The Border",65209,43921,6308,26202,3745,2313,5353,0,2015,0.5536686158
"975","Penrith and The Border",64484,45087,5834,24071,12830,0,1259,0,2010,0.5536686158
"976","Perth and North Perthshire",72141,48268,7923,14739,5954,0,0,19118,2010,0.4017141951
"977","Perth and Perthshire North",72459,54200,4413,17738,2059,1146,1110,27379,2015,NA
"978","Peterborough",70278,44927,13272,18133,8816,523,3007,0,2010,0.6130959473
"979","Peterborough",72530,47075,16759,18684,1774,1218,7485,0,2015,0.6130959473
"980","Plymouth Moor View",68246,42606,14994,16020,1265,1023,9152,0,2015,NA
"981","Plymouth Moor View",68062,41526,15433,13845,7016,398,3188,0,2010,NA
"982","Plymouth Sutton and Devonport",73274,47963,0,18120,2008,3401,6731,0,2015,NA
"983","Plymouth Sutton and Devonport",72938,43894,13901,15050,10829,904,2854,0,2010,NA
"984","Plymouth, Moor View",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6644024004
"985","Plymouth, Sutton and Devonport",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5440523532
"986","Pontypridd",58940,37882,15554,6569,4904,992,5085,0,2015,0.4581995036
